reviewid,title,artist,label,pub_year,year,genre,score,best_new_music
101,"in a safe place","the album leaf","sub pop",2004,2004,electronic/rock,7.9,0
102,"seal beach ep","the album leaf","better looking",2005,2005,electronic/rock,7.6,0
103,"bousha blue blazes","alejandra and aeron","orthlorng musork",2003,2003,experimental,8.5,0
105,"a word in your ear",alfie,"twisted nerve/xl",2002,2002,pop/r&b,7.2,0
106,"if you happy with you need do nothing",alfie,"twisted nerve",2000,2001,pop/r&b,6.9,0
110,"from here to infirmary","alkaline trio",vagrant,2000,2001,metal/rock,6.5,0
113,"all girl summer fun band","all girl summer fun band",k,2002,2002,rock,4.5,0
114,2,"all girl summer fun band",k,2003,2003,rock,6.9,0
115,"second nature","all natural","thrill jockey",2000,2001,pop/r&b/rap,6.8,0
116,"all-time quarterback","all-time quarterback",barsuk,2002,2002,rock,6.4,0
117,"brain killer","brian allen and jacob koller",braintone,2001,2001,,8.0,0
118,"e^2 x 10 = tenure","daevid allen's university of errors",innerstate,2001,2001,rock,4.5,0
119,"we are science","dot allison",beggars/mantra,2002,2002,electronic/pop/r&b,7.7,0
128,sugar,aloha,polyvinyl,2002,2002,rock,8.0,0
129,"here comes everyone",aloha,polyvinyl,2004,2004,rock,7.2,0
130,"some echoes",aloha,polyvinyl,2006,2006,rock,8.0,0
132,"the impossible thrill",alpha,astralwerks/melankolic,2000,2001,electronic/rock,3.0,0
134,"white noise",alpinestars,astralwerks,2003,2003,electronic,2.9,0
135,"through small windows","alsace lorraine",darla,2002,2001,pop/r&b,5.7,0
139,pelo,"aluminium group",hefty,2000,2000,,5.0,0
141,happyness,"aluminium group","wishing tree",2002,2002,,8.0,0
142,morehappyness,"aluminium group","wishing tree",2004,2003,,6.9,0
143,transform,"alva noto","mille plateaux",2001,2001,electronic/rock,7.4,0
144,"mutilate us",am/fm,polyvinyl,2001,2001,rock,7.1,0
145,"getting into sinking",am/fm,polyvinyl,2002,2001,rock,7.5,0
146,"audiot ep",am/fm,"skylab operations",2000,2000,rock,7.1,0
148,"amalgamated sons of rest ep","amalgamated sons of rest",galaxia,2002,2002,,5.9,0
150,vigil,"oren ambarchi, martin ng",quecksilber,2003,2003,experimental,7.6,0
151,triste,"oren ambarchi",idea,2003,2003,experimental,7.8,0
152,"grapes from the estate","oren ambarchi",touch,2004,2004,experimental,7.9,0
154,"updates ep","american analog set","tiger style",2002,2002,rock,7.8,0
155,"through the 90s: singles and unreleased","american analog set","emperor jones",2001,2001,rock,6.7,0
156,"promise of love","american analog set","tiger style",2003,2003,rock,7.9,0
157,"know by heart","american analog set","tiger style",2001,2001,rock,8.0,0
159,"set free","american analog set","arts & crafts",2005,2005,rock,6.8,0
161,"through the age of quarrel and into the era of putting up with it","american heritage","troubleman unlimited",2001,2001,metal,4.4,0
164,"jagged thoughts","american steel",lookout!,2001,2001,metal/rock,3.1,0
167,"the ua years: 1969-1974","amon dl ii","purple pyramid",2003,1999/2003,experimental/rock,7.9,0
168,"tanz der lemminge","amon dl ii",liberty,2002,1971/2001,experimental/rock,8.8,0
171,"this is my ampbuzz",ampbuzz,"strange attractors audio house",2002,2002,electronic,7.2,0
173,"the oak in the ashes","amps for christ",shrimper,2002,2002,experimental/rock,7.3,0
174,"the people at large","amps for christ",5rc,2004,2004,experimental/rock,7.4,0
176,"discography 1994-1997",anasarca,"second nature",2002,2001,metal/rock,4.8,0
177,"calculating components and compound formulas for mass population reconstruction",anasazi,"troubleman unlimited",2001,2001,metal,2.6,0
178,"source tags and codes","...and you will know us by the trail of dead",interscope,2002,2002,rock,10.0,0
179,"the secret of elena's tomb ep","...and you will know us by the trail of dead",interscope,2003,2003,rock,6.7,0
180,"relative ways ep","...and you will know us by the trail of dead",interscope,2001,2001,rock,8.6,0
182,"worlds apart","...and you will know us by the trail of dead",interscope,2005,2005,rock,4.0,0
183,"funny cry happy gift","tiffany anders",up,2001,2001,,6.8,0
184,"i get wet","andrew w.k.",island,2002,2002,rock,0.6,0
185,"living in the flood","horace andy",melankolic,2000,2000,global,7.0,0
186,"how i loved you","the angels of light","young god",2001,,,4.8,0
187,"everything is good here/please come home","the angels of light","young god",2003,2003,,8.6,1
188,"sing ""other people""","the angels of light","young god",2005,2005,,7.7,0
189,"akron/family & angels of light","the angels of light, akron/family","young god",2005,2005,experimental/rock,8.0,0
190,"here comes the indian","animal collective","paw tracks",2003,2003,experimental/rock,8.6,0
191,"sung tongs","animal collective","fat cat",2004,2004,experimental/rock,8.9,1
192,"prospect hummer ep","animal collective, vashti bunyan","fat cat",2005,2005,experimental/rock,8.4,0
193,feels,"animal collective","fat cat",2005,2005,experimental/rock,9.0,1
197,"a school of secret dangers","amy annelle",hush,2002,2001,folk/country,7.8,0
198,"your majesty","the anniversary","heroes and villains/vagrant",2002,2002,rock,2.0,0
199,"designing a nervous breakdown","the anniversary",vagrant,2000,,rock,6.8,0
200,"envoi villon ep","the anomoanon",galaxia,2002,2002,folk/country,8.0,0
201,"asleep many years in the wood","the anomoanon","temporary residence",2003,2003,folk/country,7.9,0
202,"the anomoanon","the anomoanon",palace,2001,,folk/country,7.7,0
203,"portrait of entwistle ep","the anomoanon","western vinyl",2004,2003,folk/country,8.2,0
204,"the derby ram","the anomoanon","box tree",2004,2004,folk/country,8.1,0
205,joji,"the anomoanon","temporary residence",2005,2004,folk/country,7.9,0
208,"antipop vs. matthew shipp","anti-pop consortium","thirsty ear",2003,2003,electronic/rap,7.2,0
209,"tragic epilogue","anti-pop consortium","75 arkz",2000,2000,electronic/rap,6.5,0
210,"the ends against the middle ep","anti-pop consortium",warp,2001,2001,electronic/rap,7.4,0
211,arrhythmia,"anti-pop consortium",warp,2002,2002,electronic/rap,7.7,0
212,talkatif,"antibalas afrobeat orchestra","ninja tune",2002,2002,global/pop/r&b,6.8,0
213,"liberation afro beat vol. 1","antibalas afrobeat orchestra","ninja tune",2001,,global/pop/r&b,6.0,0
214,"who is this america?","antibalas afrobeat orchestra",ropeadope,2004,2004,global/pop/r&b,8.1,0
215,"we ain't fessin' (double quotes) ep","anticon, jel",anticon,2002,2002,rap,8.2,0
217,oddeyesee,apes,frenchkiss,2003,2003,rock,8.6,0
218,"the fugue in the fog",apes,frenchkiss,2001,2001,rock,7.8,0
219,"tapestry mastery ep",apes,birdman,2004,2004,rock,7.0,0
220,"baba's mountain",apes,birdman,2005,2005,rock,6.9,0
221,"apes of wrath","apes of wrath","obtuse mule",2002,2002,electronic/rock,4.3,0
223,"selected ambient works 85-92","aphex twin",distance,2002,1993/2002,electronic,9.4,0
225,drukqs,"aphex twin",sire/warp,2001,2001,electronic,5.5,0
227,"26 mixes for cash","aphex twin",warp,2003,2003,electronic,7.7,0
239,"hangable auto bulb",afx,warp,2005,2005,electronic,8.9,0
240,"chosen lords",afx,rephlex,2006,2006,electronic,7.9,0
244,"a warm and yeasty corner ep","appendix out",shinglestreet,2002,2002,folk/country,7.4,0
245,"the night is advancing","appendix out","drag city",2001,,folk/country,8.3,0
246,"daylight saving","appendix out","drag city",1999,,folk/country,8.4,0
247,"when the pawn...","fiona apple",epic,1999,1999,rock,8.0,0
250,"velocity of sound","the apples in stereo",spinart,2002,2002,experimental/rock,6.4,0
253,"live in chicago","the apples in stereo",emusic,2001,2000,experimental/rock,7.6,0
254,"let's go! ep","the apples in stereo",spinart,2001,2001,experimental/rock,3.8,0
256,"the discovery of a world inside the moone","the apples in stereo",spinart,2000,2000,experimental/rock,6.5,0
259,"two conversations","the appleseed cast","tiger style",2003,2003,rock,4.2,0
260,"low level owl vol. i & ii","the appleseed cast","deep elm",2001,2001,rock,9.0,0
262,peregrine,"the appleseed cast","militia group",2006,2006,rock,7.3,0
265,"imperial metric",appliance,mute,2001,2001,electronic,7.8,0
267,"the stolen singles","arab on radar",three-one-g,2003,2003,experimental/metal/rock,7.1,0
268,"soak the saddle","arab on radar","skin graft",2000,,experimental/metal/rock,2.0,0
270,"the red thread","arab strap",matador,2001,2001,rock,6.9,0
273,"mad for sadness","arab strap",jetset,2000,2000,rock,8.2,0
274,"elephant shoe","arab strap",jetset,2000,2000,rock,8.4,0
275,"the last romance","arab strap","chemikal underground",2005,2005,rock,8.0,0
278,"seconds before the accident","archers of loaf",alias,2000,2000,rock,7.0,0
280,"everything after the bomb is sci-fi","arco flute foundation",cenotaph,2002,2002,,5.9,0
281,everest,arcwelder,"touch and go",1999,,metal/rock,5.7,0
283,"free in the streets","a.r.e. weapons","defend music",2006,2005,electronic,6.0,0
284,revolution,area,akarma,2003,2002,jazz/rock,9.0,0
285,"we are a&c","arling and cameron","emperor norton",2001,2001,electronic/pop/r&b,2.8,0
286,"music for imaginary films","arling and cameron","emperor norton",2000,,electronic/pop/r&b,7.2,0
287,all-in,"arling and cameron","emperor norton",1999,,electronic/pop/r&b,8.0,0
289,"stab the unstoppable hero",arlo,"sub pop",2002,2002,pop/r&b,3.8,0
292,"as if to nothing","craig armstrong",astralwerks,2002,2002,electronic/rock,2.2,0
294,"no podemos ser amigos",aroah,acuarela,2003,2003,rock,7.0,0
296,tides,arovane,"city centre offices",2000,,electronic,8.8,0
300,wires,"art of fighting","3 beads of sweat",2003,2002,rock,6.5,0
301,"the seduction of claude debussy","art of noise",universal/ztt,1999,,electronic/experimental/rock,3.6,0
302,"come to where i'm from","joseph arthur",realworld,2000,,rock,7.4,0
303,"our shadows will remain","joseph arthur",vector,2004,2004,rock,7.8,0
304,"walking in the sunlight",arthurs,dirigeable,2002,2002,,6.2,0
306,"tsu gi ne pu","asa-chang & junray",leaf,2003,2003,electronic/rock,7.0,0
307,"jun ray song chang","asa-chang & junray",leaf,2003,2002,electronic/rock,8.0,0
309,"free all angels",ash,kinetic,2002,2002,rock,7.3,0
310,meltdown,ash,recordcollection,2005,2005,rock,6.8,0
313,"keys to the world","richard ashcroft",parlophone,2006,2006,rock,2.0,0
316,"the secretariat motor hotel","ashley park",darling,2003,2003,pop/r&b,7.1,0
320,"facts and fictions","asian dub foundation",nation,2003,2002,electronic,6.4,0
321,"community music","asian dub foundation",london,2000,,electronic,8.7,0
322,racetothebottom,"andre afram asmar",mush,2003,2002,electronic/rock,3.5,0
324,"birds fly ep",aspera,"suicide squeeze",2002,2002,rock,6.1,0
325,"apple street ep","asteroid no. 4","audio information phenomena",2000,,,2.6,0
326,honeyspot,"asteroid no. 4","turquoise mountain",2003,2003,,3.0,0
327,"parts 1, 2 & 3",astrobotnia,rephlex,2002,2002,,8.2,0
329,"relationship of command","at the drive-in","grand royal",2004,2004,metal/rock,6.1,0
330,"this station is non-operational","at the drive-in",fearless,2005,2005,metal/rock,8.3,0
331,"and other smaller, brighter worlds","atari star","johann's face",2002,2002,,2.6,0
335,interiors,ativin,"secretly canadian",2002,2002,rock,6.0,0
336,"night mute",ativin,"secretly canadian",2004,2004,rock,5.5,0
340,"lucy ford: the atmosphere eps",atmosphere,birdcage/rhymesayers,2001,2001,rap,7.3,0
341,"god loves ugly",atmosphere,"fat beats/rhymesayers",2002,2002,rap,5.7,0
342,"seven's travels",atmosphere,rhymesayers,2003,2003,rap,5.5,0
343,"headshots: se7en",atmosphere,rhymesayers,2005,2005,rap,5.0,0
344,"you can't imagine how much fun we're having",atmosphere,rhymesayers,2005,2005,rap,5.9,0
346,"god save the abpk",atombombpocketknife,southern,2001,2001,metal/rock,6.6,0
347,"attention! blah blah blah","atom and his package",hopeless,2003,2003,electronic/rock,3.8,0
351,"alone i admire","auburn lull","burnt hair",2002,1999/2002,electronic/rock,9.0,0
352,"cast from the platform","auburn lull",darla,2004,2004,electronic/rock,8.0,0
353,"regions less parallel: early works & rarities mcmxcvi-mmiv","auburn lull",darla,2005,2005,electronic/rock,7.5,0
354,"ego war","audio bullys",astralwerks,2003,2003,electronic,7.4,0
355,generation,"audio bullys",astralwerks,2006,2006,electronic,2.7,0
356,audioslave,audioslave,epic,2002,2002,rock,1.7,0
357,"out of exile",audioslave,interscope,2005,2005,rock,6.8,0
360,"peel session 2 ep",autechre,warp,2000,2000,electronic,6.9,0
361,"peel session",autechre,interscope/nothing,1999,1999,electronic,7.7,0
362,"gantz graf ep",autechre,warp,2002,2002,electronic,7.0,0
363,ep7,autechre,interscope/nothing/warp,1999,1999,electronic,5.7,0
364,"draft 7.30",autechre,warp,2003,2003,electronic,6.2,0
367,"aeo & hae","autechre, hafler trio",phonometrography,2004,2003,electronic,7.3,0
368,untilted,autechre,warp,2005,2005,electronic,7.4,0
370,"das capital: the songwriting genius of luke haines & the auteurs",auteurs,hut,2004,2003,,5.1,0
374,"wanna buy a monkey?","dan the automator",sequence,2002,2002,electronic/rap,4.0,0
376,"faux mouvement","autour de lucie",nettwerk,2001,2001,rock,6.2,0
378,circles,"the autumn defense","arena rock",2004,2003,rock,6.9,0
385,"since i left you","the avalanches",xl,1999,2001,electronic,9.5,0
386,"bridge to northern lights",aveo,"barsuk/red tide",2001,2001,rock,5.5,0
387,battery,aveo,barsuk,2004,2004,rock,6.0,0
389,slanguage,"awol one, daddy kev",mush,2003,2003,rap,5.5,0
390,propaganda,"awol one & fat jack","mass men",2003,2002,,7.5,0
391,"david axelrod","david axelrod","mo'wax",2002,2001,jazz/pop/r&b,7.9,0
392,"the edge: david axelrod at capitol 1966-1970","david axelrod","blue note",2005,2005,jazz/pop/r&b,8.7,0
396,enantiodromia,azita,"drag city",2003,2003,rock,8.5,0
397,"life on the fly",azita,"drag city",2004,2004,rock,6.4,0
398,"the drinks we drank last night ep","azure ray","saddle creek",2003,2003,rock,6.0,0
399,"burn and shiver","azure ray",warm,2002,2002,rock,6.8,0
400,"azure ray","azure ray",warm,2001,2001,rock,7.0,0
401,"hold on love","azure ray","saddle creek",2003,2003,rock,6.5,0
402,"new resolution ep","azure ray","saddle creek",2004,2004,rock,7.5,0
403,katonah,"apollo sunshine",spinart,2003,2003,rock,7.2,0
404,"apollo sunshine","apollo sunshine","heavy rotation/spinart",2005,2005,rock,7.8,0
405,"black lava","a trillion barnacle lapse","sound virus",2003,2003,,7.8,0
406,"crydamoure presents waves ii",archigram,astralwerks,2003,2003,,7.4,0
407,"ambulance ltd ep","ambulance ltd",tvt,2003,2003,electronic/rock,6.4,0
408,"eyes closed ep",alias,anticon,2003,2003,electronic/rock,6.0,0
409,muted,alias,anticon,2003,2003,electronic/rock,6.0,0
410,"terra nova ep","the austerity program","hydra head",2003,2003,experimental/rock,8.0,0
411,berlinette,"ellen allien","bpitch control",2003,2003,electronic,8.9,1
414,thrills,"ellen allien","bpitch control",2005,2005,electronic,7.0,0
415,"orchestra of bubbles","ellen allien","bpitch control",2006,2006,electronic,8.5,0
416,"don't forget to boogie","tetuzi akiyama",idea,2003,2003,electronic,7.8,0
417,duplex,apparat,shitkatapult,2004,2003,electronic,7.3,0
418,"silizium ep",apparat,shitkatapult,2005,2005,electronic,7.2,0
419,"greenhouse: 20th anniversary edition","absolute grey","dbk works",2004,2003,pop/r&b,7.7,0
420,"dreams of water themes","adventure time","plug research",2004,2003,electronic/rock,4.8,0
421,"para dieswrts dl","amon dl",ohr,2004,1970/2003,experimental/rock,5.8,0
422,"48 months","asheru & blue black","seven heads",2004,2003,,7.6,0
423,"we are the lazer viking","an albatross","ace fu",2004,2003,experimental/rock,6.1,0
424,"spirit stereo frequency","all night radio","sub pop",2004,2004,rock,7.8,0
425,"rises and falls",aero,apestaartje,2004,2003,electronic,7.6,0
426,"camino del sol",antena,"factory benelux",2004,1980/2004,electronic/pop/r&b,9.0,0
429,"art box","art bears",recommended,2004,2004,experimental/rock,9.0,0
430,"mayhem mystics","azeem, variable unit","wide hive",2004,2004,rap,7.9,0
431,"on the culture industry",ahleuchatistas,"angura sound",2004,2004,rock,7.8,0
432,"the same and the other",ahleuchatistas,nfi,2004,2004,rock,8.0,0
433,"what you will",ahleuchatistas,cuneiform,2006,2006,rock,7.6,0
434,"virgin ubiquity: unreleased recordings 1976-1981","roy ayers",!k7/rapster,2004,2004,jazz/rock,7.3,0
435,"bad thriller","abstrackt keal agram",gooom,2004,2004,electronic/rock,7.6,0
436,"cluster ville","abstrackt keal agram",gooom,2004,2003,electronic/rock,6.2,0
437,"the advantage","the advantage",5rc,2004,2004,,7.7,0
438,elf-titled,"the advantage",5rc,2006,2006,,7.9,0
439,"get it twisted",apsci,"bomb hip-hop",2004,2004,electronic/rock,6.8,0
440,"fingers crossed","architecture in helsinki",bar/none/trifekta,2004,2004,rock,8.2,0
441,"in case we die","architecture in helsinki","bar/none/tailem bend",2005,2005,rock,8.8,1
442,"new england","jason anderson",k,2004,2004,electronic/rock,5.0,0
443,"the wreath","jason anderson",k,2005,2004,electronic/rock,7.3,0
444,"vehicles & animals",athlete,astralwerks,2004,2004,rock,6.4,0
445,tourist,athlete,astralwerks,2005,2005,rock,3.6,0
446,automato,automato,emi,2004,2004,rap,3.5,0
447,"asobi seksu","asobi seksu","friendly fire",2004,2004,experimental/rock,6.0,0
448,"road movies","john adams",nonesuch,2004,2004,experimental,7.5,0
449,"automatic writing",ataxia,recordcollection,2004,2004,experimental/rock,7.1,0
450,"not going anywhere","keren ann","blue note",2004,2004,global/pop/r&b,7.5,0
451,"viscous solid",aeroc,ghostly,2004,2004,electronic,7.0,0
452,funeral,"arcade fire",merge,2004,2004,rock,9.7,1
453,"arcade fire ep","arcade fire",self-released,2005,2003/2005,rock,6.8,0
454,"love songs for patriots","american music club",merge,2004,2004,rock,8.0,0
455,"one in an infinity of ways",ammoncontact,"plug research",2004,2004,electronic/jazz/rap,6.9,0
456,anniemal,annie,679,2004,2004,electronic/pop/r&b,8.8,1
457,dj-kicks,annie,!k7,2005,2005,electronic/pop/r&b,7.5,0
458,touch,amerie,columbia,2005,2005,pop/r&b,7.6,0
459,"future perfect",autolux,dmz,2004,2004,rock,8.3,0
460,"long live the well-doer",arbouretum,"box tree",2004,2004,electronic/rock,7.5,0
461,miniatures,alog,"rune grammofon",2005,2005,electronic/jazz/rock,8.4,0
462,"catch that totem! (1998-2005)",alog,melektronikk,2006,2005,electronic/jazz/rock,8.0,0
463,"strange bird","augie march",bmg,2005,2002/2004,rock,8.2,0
464,"folkloric feel","apostle of hustle","arts & crafts",2005,2004,rock,7.7,0
465,"i sold gold",aqueduct,barsuk,2005,2005,rock,6.8,0
466,blondie,ada,areal,2005,2004,electronic,8.6,0
467,"i am a bird now","antony and the johnsons","secretly canadian",2005,2005,rock,8.6,1
471,"black forest",a-frames,"sub pop",2005,2005,,7.0,0
472,"good fortune","airborn audio","ninja tune",2005,2005,rap,6.0,0
473,akron/family,akron/family,"young god",2005,2005,experimental/rock,8.0,0
474,"we can breathe under alcohol","an angle",drive-thru,2005,2005,rock,4.3,0
475,"bang bang rock & roll","art brut","fierce panda",2005,2005,electronic/rock,8.9,1
476,"bitter hands resign","a northern chorus","sonic unyon",2005,2005,rock,6.0,0
477,"uhhh sort of","applied communications","disco mariscos",2005,2005,rock,6.7,0
478,"donkey stock",absentee,"memphis industries",2005,2005,electronic/rock,6.8,0
479,"bestial machinery, vol. 1","agoraphobic nosebleed",relapse,2005,2005,metal,7.1,0
480,"kore ga mayaku da",afrirampo,tzadik,2005,2005,,7.9,0
481,acoustica,"alarm will sound",cantaloupe,2005,2005,experimental,5.9,0
484,"august born","august born","drag city",2005,2005,,7.3,0
485,"dimanche  bamako","amadou & mariam",nonesuch,2005,2005,global,8.0,0
486,"amusement parks on fire","amusement parks on fire",filter,2005,2005,rock,6.6,0
487,"fabric 27","matthew dear",fabric,2006,2006,electronic/rock,6.2,0
488,suckfish,audion,"spectral sound",2005,2005,electronic,8.0,0
489,"are you really lost?","matias aguayo",kompakt,2005,2005,electronic,6.9,0
490,"sing along with acid house kings","acid house kings",twentyseven,2005,2005,rock,7.7,0
491,"aminanima ep",amiina,"the worker's institute",2005,2005,rock,7.0,0
492,"the beginning of the end of the world","as mercenrias","soul jazz",2005,2005,,7.8,0
493,"this is where our hearts collide",amandine,"fat cat",2005,2005,folk/country,7.6,0
494,"anthrology: no hit wonder (1985-1991)",anthrax,island,2006,2005,metal,7.7,0
495,"anr so far","awesome new republic",sutro,2006,2005,rock,7.9,0
496,"arizona amp and alternator","arizona amp and alternator","thrill jockey",2006,2005,,7.3,0
497,"whatever people say i am, that's what i'm not","arctic monkeys",domino,2006,2006,rock,7.4,0
498,"who the fuck are arctic monkeys? ep","arctic monkeys",domino,2006,2006,rock,5.9,0
499,"the lovvers","aids wolf","lovepump united/skin graft",2006,2006,experimental/rock,3.9,0
500,animalism,animals,mgm,2006,1966/2006,rock,7.5,0
501,"now playing",ayatollah,"nature sounds",2006,2006,rap,6.9,0
502,omni,"acid casuals","placid casual",2006,2006,rock,7.8,0
508,"the orange tapered moon",bablicon,misra,2000,,electronic/rock,7.8,0
509,"in a different city",bablicon,misra,2000,,electronic/rock,8.2,0
510,"a flat inside a fog, the cat that was a dog",bablicon,misra,2001,,electronic/rock,8.0,0
511,"duck season",babu,sequence,2002,2002,pop/r&b/rap,7.1,0
517,"short careers: original score for the film 'ball of wax'","eric bachmann",merge,2002,2002,rock,7.6,0
519,"banned in d.c.: bad brains greatest riffs","bad brains",caroline,2003,2003,rock,9.1,0
520,"the process of belief","bad religion",epitaph,2002,2002,metal/rock,5.1,0
522,"the empire strikes first","bad religion",epitaph,2004,2004,metal/rock,8.2,0
524,"of things too sorrowful to be reminded of, and things too beautiful to possess",badgerlore,"free porcupine society",2003,2003,electronic/experimental/rock,8.6,0
525,"stories for owls",badgerlore,"free porcupine society",2005,2005,electronic/experimental/rock,7.4,0
526,"the hour of bewilderbeast","badly drawn boy","twisted nerve/xl",2000,2000,rock,8.6,0
527,"have you fed the fish?","badly drawn boy",artistdirect,2002,2002,rock,6.6,0
528,"about a boy","badly drawn boy",artistdirect,2002,2002,rock,4.9,0
529,"one plus one is one","badly drawn boy",astralwerks,2004,2004,rock,3.0,0
530,ballads,"derek bailey",tzadik,2002,2002,experimental/jazz/rock,8.1,0
531,"the gospel record","derek bailey","shaking ray",2005,2005,experimental/jazz/rock,8.0,0
532,"carpal tunnel","derek bailey",tzadik,2005,2005,experimental/jazz/rock,7.0,0
533,"jessica bailiff","jessica bailiff",kranky,2003,2002,rock,7.3,0
536,"solar 3","bailter space",turnbuckle,1999,,experimental/rock,8.1,0
538,"sonic bullets: 13 from the hip","bambi molesters","dancing bear",2002,2002,rock,7.9,0
539,"dumb loud hollow twang [deluxe edition]","bambi molesters","dancing bear",2004,2003,rock,7.2,0
540,"the magical sounds of...","banco de gaia","gecko/six degrees",1999,,electronic,8.0,0
541,"big men cry","banco de gaia","mammoth cave recording co./planet dog",2003,,electronic,8.1,0
542,irreversible,"thomas bangalter",roul,2002,2002,electronic,6.0,0
545,"call and response",bangs,"kill rock stars",2003,2002,rock,3.8,0
546,"oh me oh my...","devendra banhart","young god",2002,2002,folk/country,7.8,0
547,"the black babies ep","devendra banhart","young god",2003,2003,folk/country,7.7,0
548,"rejoicing in the hands","devendra banhart","young god",2004,2004,folk/country,8.4,1
549,"golden apples of the sun","various artists",bastet,2004,2004,,8.6,0
550,"nio rojo","devendra banhart","young god",2004,2004,folk/country,8.0,0
